,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
145,Environmental Engineering,Bachelors,"$62,600","$104,800",62%
146,International Management,Bachelors,"$54,100","$104,800",51%
147,Computer Information Systems,Bachelors,"$59,400","$104,700",42%
148,Corporate Finance,Bachelors,"$63,600","$104,300",43%
149,Genetics,Bachelors,"$52,200","$104,100",72%
150,International Business,Bachelors,"$55,300","$104,100",39%
151,Agricultural Engineering (AE),Bachelors,"$63,100","$104,000",63%
152,Consumer Economics,Bachelors,"$53,700","$103,800",40%
153,Finance & Marketing,Bachelors,"$56,800","$103,700",46%
154,Computer Information Systems (CIS),Bachelors,"$60,500","$103,500",47%
155,Business Finance,Bachelors,"$57,200","$103,300",42%
156,Psychobiology,Bachelors,"$49,600","$103,100",65%
157,Strategic Management,Bachelors,"$66,200","$103,100",47%
158,Construction Trades,Bachelors,"$61,900","$103,100",48%
159,Operations Management (OM),Bachelors,"$61,500","$103,000",45%
160,Entrepreneurship & Leadership,Bachelors,"$57,100","$102,900",43%
161,Electrical Engineering Technology (EET),Bachelors,"$66,300","$102,800",47%
162,Computer Science & Information Technology,Bachelors,"$66,000","$102,700",50%
163,Food Marketing,Bachelors,"$56,300","$102,700",24%
164,International Marketing,Bachelors,"$59,000","$102,600",22%
165,Network Engineering,Bachelors,"$60,700","$102,600",55%
166,Building Construction Management,Bachelors,"$61,300","$102,400",63%
167,Engineering Technology (ET),Bachelors,"$58,400","$102,300",47%
168,International Relations,Bachelors,"$52,800","$102,200",49%
169,Management & Finance,Bachelors,"$56,800","$102,200",59%
170,Information Security,Bachelors,"$66,400","$102,200",48%
171,Business Operations,Bachelors,"$63,500","$102,100",-
172,Industrial Management,Bachelors,"$57,800","$102,000",53%
173,Architectural Engineering,Bachelors,"$65,000","$101,900",58%
174,Hotel Administration,Bachelors,"$64,900","$101,900",35%
175,Manufacturing,Bachelors,"$57,600","$101,500",48%
176,Agricultural Economics & Business,Bachelors,"$54,900","$101,400",56%
177,Web Development,Bachelors,"$56,400","$101,300",46%
178,Aviation,Bachelors,"$54,000","$101,200",48%
179,Telecommunications Management,Bachelors,"$55,000","$101,200",42%
180,Property Management,Bachelors,"$55,200","$101,000",47%
181,Comparative Literature,Bachelors,"$48,100","$100,900",46%
182,Construction Science & Management,Bachelors,"$64,700","$100,800",71%
183,Biotechnology,Bachelors,"$53,100","$100,700",59%
184,Industrial & Labor Relations,Bachelors,"$69,800","$100,600",44%
185,Real Estate,Bachelors,"$59,900","$100,600",36%
186,Mechanical Engineering Technology (MET),Bachelors,"$64,200","$100,400",48%
187,Labor Relations,Bachelors,"$53,000","$100,300",41%
188,Electronics,Bachelors,"$57,500","$100,200",63%
189,Biochemistry (BCH),Bachelors,"$50,400","$99,900",62%
190,Politics,Bachelors,"$53,000","$99,900",51%
191,Accounting & Auditing,Bachelors,"$57,800","$99,800",45%
192,Chinese Language,Bachelors,"$54,200","$99,600",43%
193,Information Science (IS),Bachelors,"$66,300","$99,500",36%
194,East Asian Studies,Bachelors,"$49,800","$99,400",42%
195,Accounting & Finance,Bachelors,"$59,200","$99,300",45%
196,Network Security,Bachelors,"$62,300","$99,300",50%
197,Information Technology (IT),Bachelors,"$59,100","$99,200",46%
198,Aviation Management,Bachelors,"$50,900","$99,100",58%
